52,7,56,0,0
117,2,84,888,6,2
118,2,84,908,6,2
119,2,82,903,6,2
120,2,81,948,6,2
121,2,80,968,6,2
122,2,79,988,6,2
123,2,79,1008,6,2
124,2,79,1003,6,2
125,2,79,998,6,2
126,2,79,993,6,2
127,2,79,988,6,2
128,2,79,983,6,2
129,2,79,978,6,2
130,2,79,973,6,2
131,2,77,968,6,2
132,2,77,1013,6,2
133,2,77,1008,6,2
134,2,75,1003,6,2
135,2,75,1048,6,2
136,2,75,1043,6,2
137,2,74,1038,6,2
138,2,74,1058,6,2
139,2,74,1053,6,2
140,2,73,1048,6,2
141,2,73,1068,6,2
142,2,73,1063,6,2
143,2,73,1058,6,2
144,2,73,1053,6,2
145,2,73,1048,6,2
146,2,73,1043,6,2
147,2,73,1038,6,2
148,2,73,1033,6,2
149,2,73,1028,6,2
150,2,73,1023,6,2
151,2,73,1018,6,2
152,2,73,1013,6,2
153,2,72,1008,6,2
154,2,72,1028,6,2
155,2,72,1023,6,2
156,2,72,1018,6,2
157,2,72,1013,6,2
158,2,72,1008,6,2
159,2,72,1003,6,2
160,2,71,998,6,2
161,2,70,1018,6,2
162,2,70,1038,6,2
163,2,70,1058,6,2
164,2,70,1053,6,2
165,2,70,1073,6,2
166,3,70,1068,6,2
167,3,70,707,6,2
168,3,70,702,6,2
169,3,70,697,6,2
170,3,71,692,6,2
171,3,71,687,6,2
172,3,69,682,6,2
173,3,69,710,6,2
174,3,69,705,6,2
175,3,69,700,6,2
176,3,69,695,6,2
177,3,68,690,6,2
178,3,68,718,6,2
179,3,68,730,6,2
180,3,67,742,6,2
181,3,68,753,6,2
182,3,68,748,6,2
183,3,67,743,6,2
184,3,67,755,6,2
185,3,67,767,6,2
186,3,67,778,6,2
187,3,67,773,6,2
188,3,67,768,6,2
189,3,66,763,6,2
190,3,65,775,6,2
191,3,65,803,6,2
192,3,65,815,6,2
193,3,65,810,6,2
194,3,66,822,6,2
195,3,66,817,6,2
196,3,66,812,6,2
197,3,66,807,6,2
198,3,66,802,6,2
199,3,66,813,6,2
200,3,67,808,6,2
201,3,67,803,6,2
202,3,65,798,6,2
203,3,64,843,6,2
204,3,65,855,6,2
205,3,66,850,6,2
206,3,66,845,6,2
207,3,66,840,6,2
208,3,66,835,6,2
209,3,65,830,6,2
210,3,65,842,6,2
211,3,65,853,6,2
212,3,65,882,6,2
213,3,66,910,6,2
214,3,67,922,6,2
215,3,68,917,6,2
216,3,69,912,6,2
217,3,70,907,6,2
218,3,71,902,6,2
219,3,70,897,6,2
220,3,70,925,6,2
221,3,70,920,6,2
222,3,71,915,6,2
223,3,71,910,6,2
224,3,70,905,6,2
225,3,69,917,6,2
226,3,68,928,6,2
227,3,68,957,6,2
228,3,68,968,6,2
229,3,67,963,6,2
230,3,66,992,6,2
231,3,66,1003,6,2
232,3,66,998,6,2
233,3,65,993,6,2
234,3,66,1022,6,2
235,3,67,1017,6,2
236,3,67,1012,6,2
237,3,66,1007,6,2
238,3,66,1018,6,2
239,3,66,1013,6,2
240,3,65,1008,6,2
241,3,66,1020,6,2
242,3,64,1015,6,2
243,3,64,1043,6,2
244,3,64,1038,6,2
245,3,62,1033,6,2
246,3,62,1062,6,2
247,3,62,1073,6,2
248,3,62,1085,6,2
249,3,61,1097,6,2
250,3,61,1125,6,2
251,3,61,1120,6,2
252,3,61,1115,6,2
253,3,60,1110,6,2
254,3,59,1122,6,2
255,3,59,1150,6,2
256,3,59,1162,6,2
257,3,60,1173,6,2
258,3,61,1168,6,2
259,3,62,1180,6,2
260,3,61,1175,6,2
261,3,62,1203,6,2
262,3,63,1198,6,2
263,3,61,1210,6,2
264,3,60,1255,6,2
265,3,61,1283,6,2
266,3,60,1295,6,2
267,3,62,1340,6,2
268,3,62,1335,6,2
269,3,63,1347,6,2
270,3,64,1342,6,2
271,3,64,1337,6,2
272,3,65,1348,6,2
273,4,67,1343,6,2
274,5,68,1002,6,2
275,6,69,797,6,2
276,7,70,667,6,2
277,8,71,567,6,2
278,9,70,497,6,2
279,10,69,454,6,2
280,11,70,413,6,2
281,12,70,371,6,2
282,13,70,343,6,2
283,14,71,319,6,2
284,15,71,295,6,2
285,17,68,277,6,2
286,19,68,251,6,2
287,21,67,225,6,2
288,24,67,206,6,2
289,25,61,187,6,1
290,24,60,209,6,2
291,25,57,202,6,2
292,25,52,199,6,1
293,25,50,200,6,1
294,27,52,203,6,1
295,32,53,183,6,1
296,40,53,151,6,1
297,49,48,118,6,1
298,61,45,101,6,1
299,71,41,78,6,1
300,78,36,74,9,1
301,94,33,62,8,1
302,110,28,50,8,1
303,128,23,41,8,2
304,139,21,34,8,2
305,146,17,30,7,2
306,138,11,29,7,2
307,134,8,27,8,2
308,117,9,29,8,2
309,105,9,30,7,2
310,93,9,30,7,2
311,87,8,29,8,2
312,83,7,28,8,2
313,85,9,26,8,2
314,83,9,21,8,2
315,68,11,22,7,2
316,57,13,23,7,2
317,58,14,18,7,2
318,51,15,16,7,2
319,46,17,14,7,2
320,39,16,12,7,2
321,33,18,16,7,2
322,27,17,14,7,2
323,21,18,20,7,2
324,13,20,32,7,3
325,9,21,43,7,3
326,9,23,44,7,3
327,8,25,45,7,2
328,7,24,47,7,2
329,7,26,63,7,2
330,7,28,58,7,2
331,7,30,53,7,2
332,7,31,48,7,2
333,7,33,50,7,2
334,6,35,54,7,3
335,6,36,49,7,3
336,5,37,64,8,3
337,5,38,69,8,3
338,5,40,74,8,3
339,4,41,89,8,4
340,4,43,96,8,4
341,4,43,91,8,4
342,4,45,111,8,4
343,4,46,106,8,4
344,4,47,114,8,4
345,4,48,121,8,4
346,4,49,129,8,4
347,4,50,136,8,4
348,4,51,144,8,4
349,4,53,151,8,4
350,4,54,146,8,4
351,4,56,154,8,4
352,5,58,149,8,4
353,6,60,114,8,3
354,6,61,90,8,3
355,6,62,93,8,3
356,6,64,96,8,3
357,7,66,91,8,3
358,8,67,73,8,3
359,9,67,65,8,3
360,10,68,64,8,2
361,10,68,58,8,2
362,7,69,85,7,3
363,7,68,87,7,3
364,8,69,104,7,3
365,9,71,92,7,3
366,9,71,77,7,3
367,7,70,109,7,4
368,6,70,148,7,4
369,6,70,159,7,4
370,6,72,171,7,4
371,6,73,166,7,4
372,6,73,161,7,4
373,5,74,199,8,3
374,5,74,204,8,3
375,5,73,209,8,3
376,5,72,234,8,3
377,5,72,259,8,3
378,5,74,274,8,3
379,5,73,269,8,3
380,5,73,294,8,3
381,5,72,299,8,3
382,5,72,324,8,3
383,5,73,329,8,3
384,5,73,334,8,3
385,5,73,349,8,3
386,5,74,364,8,3
387,5,75,359,8,3
388,5,76,364,8,3
389,5,75,359,8,3
390,5,76,374,8,3
391,5,75,369,8,3
392,5,75,384,8,3
393,5,74,389,8,3
394,6,74,394,8,3
395,6,71,331,8,3
396,6,71,351,8,3
397,7,72,355,8,3
398,8,72,299,8,3
399,8,71,269,8,3
400,8,72,276,8,3
401,8,71,278,8,3
402,8,72,291,8,3
403,9,74,293,8,3
404,10,72,255,8,3
405,11,72,245,8,2
406,12,74,226,8,2
407,12,72,202,8,2
408,12,68,210,8,2
409,12,67,230,8,2
410,13,69,237,8,2
411,13,64,214,8,2
412,13,64,236,8,2
413,14,65,239,8,2
414,16,64,220,8,2
415,18,60,197,8,2
416,20,59,187,8,2
417,22,57,171,8,2
418,27,57,159,8,2
419,33,52,128,8,2
420,40,46,110,8,2
421,46,41,96,8,2
422,53,38,93,8,2
423,61,32,75,8,2
424,69,29,68,8,2
425,80,24,60,8,2
426,88,22,54,7,2
427,99,16,45,7,2
428,102,14,44,7,2
429,118,10,35,7,2
430,134,10,29,7,2
431,138,5,23,7,2
432,134,4,22,7,2
433,135,5,19,7,2
434,132,6,15,7,2
435,127,6,11,7,2
436,112,5,8,7,2
437,88,5,8,7,3
438,60,7,10,7,3
439,45,7,11,7,3
440,29,9,15,7,3
441,21,10,17,7,3
442,16,11,21,7,2
443,15,13,23,7,2
444,18,14,17,7,2
445,19,15,13,7,2
446,17,17,11,7,2
447,10,17,14,7,3
448,9,19,22,7,3
449,7,18,24,8,2
450,7,20,41,8,2
451,6,22,43,8,1
452,5,23,47,8,2
453,5,25,52,8,2
454,6,27,47,8,2
455,6,29,34,8,2
456,5,31,36,8,0
457,5,32,31,8,0
458,4,33,48,8,1
459,4,35,55,8,1
460,4,37,50,8,1
461,3,38,63,8,1
462,3,40,74,8,1
463,3,42,69,8,1
464,3,43,64,8,1
465,3,45,76,8,1
466,3,47,71,8,1
467,3,49,66,8,1
468,3,50,61,8,1
469,3,52,73,8,1
470,3,54,68,8,1
471,3,56,63,8,1
472,3,57,58,8,1
473,3,59,69,8,1
474,3,60,64,8,1
475,3,61,76,8,1
476,3,63,88,8,1
477,3,65,83,8,1
478,3,66,78,8,1
479,3,67,89,8,1
480,3,68,101,8,1
481,3,69,113,8,1
482,3,71,124,8,1
483,3,72,119,8,1
484,3,73,114,8,1
485,3,73,109,8,1
486,3,74,138,8,1
487,3,74,133,8,1
488,3,74,144,8,1
489,3,75,156,8,1
490,3,75,168,8,1
491,3,75,196,8,1
492,3,77,224,8,1
493,3,78,219,8,1
494,3,79,231,8,1
495,3,80,226,8,1
496,3,81,221,8,1
497,3,82,216,8,1
498,3,83,211,8,1
499,3,85,223,8,1
500,3,86,218,8,1
501,3,87,213,8,1
502,3,88,208,8,1
503,3,89,203,8,1
504,3,89,198,8,1
505,3,89,209,8,1
506,3,89,221,8,1
507,3,90,249,8,1
508,3,91,261,8,1
509,3,91,256,8,1
510,3,91,284,8,1
511,3,92,296,8,1
512,4,94,291,8,1
513,4,93,213,8,1
514,4,93,233,8,1
515,4,93,228,8,1
516,4,92,236,8,1
517,4,92,256,8,1
518,4,91,251,8,1
519,4,90,271,8,1
520,4,90,291,8,1
521,4,90,298,8,1
522,4,90,306,8,1
523,4,88,313,8,1
524,4,88,346,8,1
525,4,88,353,8,1
526,4,88,348,8,1
527,4,87,356,8,1
528,4,87,376,8,1
529,4,88,383,8,1
530,4,87,378,8,1
531,4,88,398,8,1
532,4,87,393,8,1
533,4,87,401,8,1
534,4,87,408,8,1
535,4,86,416,8,1
536,4,86,423,8,1
537,4,85,431,8,1
538,4,85,451,8,1
539,4,83,446,8,1
540,4,83,478,8,1
541,4,83,486,8,1
542,4,83,481,8,1
543,4,83,476,8,1
544,4,82,483,8,1
545,4,82,503,8,1
546,4,82,498,8,1
547,4,81,506,8,1
548,4,80,526,8,1
549,5,82,546,8,1
550,5,81,431,8,1
551,5,82,446,8,1
552,5,83,441,8,1
day,number of animals,number of grass,avg energy,length of life,avg children
day,number of animals,number of grass,avg energy,length of life,avg children
day,number of animals,number of grass,avg energy,length of life,avg children
1,35,2,95,0,0
2,42,4,76,0,0
3,50,5,58,0,0
4,62,6,45,0,0
5,75,7,32,0,1
6,87,9,22,0,1
7,90,10,15,2,1
8,83,12,13,2,1
65,6,44,0,0
day,number of animals,number of grass,avg energy,length of life,avg children
1,32,2,95,0,0
2,35,4,84,0,0
3,39,6,71,0,0
4,46,8,59,0,0
5,52,8,45,0,0
6,58,10,37,0,0
7,62,10,29,2,0
8,58,11,28,2,1
9,57,13,25,3,1
10,54,15,22,3,1
49,8,49,1,0
day,number of animals,number of grass,avg energy,length of life,avg children
1,30,2,95,0,0
2,31,4,90,0,0
3,33,6,82,0,0
4,35,8,72,0,0
5,38,10,63,0,0
6,43,11,53,0,0
7,50,12,43,0,0
37,7,71,0,0
day,number of animals,number of grass,avg energy,length of life,avg children
1,32,2,95,0,0
2,36,4,84,0,0
3,41,6,69,0,0
4,48,8,56,0,0
5,59,10,43,0,0
6,69,11,30,0,0
7,76,11,22,2,1
8,83,10,17,3,1
9,78,12,14,3,1
10,64,10,13,3,1
58,8,44,1,0
day,number of animals,number of grass,avg energy,length of life,avg children
1,31,2,95,0,0
2,34,4,86,0,0
3,38,6,74,0,0
4,42,7,61,0,0
5,46,9,51,0,0
6,53,9,42,0,0
7,59,8,33,0,0
8,62,9,30,1,1
9,59,9,28,3,1
10,65,10,23,4,1
11,65,12,17,4,1
12,58,11,16,4,1
13,49,12,17,4,1
14,44,14,15,4,1
15,35,15,14,4,1
16,27,17,17,4,1
17,24,18,15,4,2
18,19,19,16,5,2
19,14,21,21,5,1
20,13,23,18,5,1
21,7,25,28,6,2
22,6,27,29,6,2
23,6,29,30,6,1
24,7,31,20,6,1
25,8,33,12,6,1
34,15,32,3,0
day,number of animals,number of grass,avg energy,length of life,avg children
1,10,1,95,0,0
2,10,2,90,0,0
3,11,3,85,0,0
4,13,4,72,0,0
5,17,6,56,0,0
6,19,6,37,0,0
7,24,8,34,0,0
8,27,7,23,2,1
9,27,5,19,3,1
17,4,56,0,0
10,25,5,23,3,1
11,26,5,21,3,1
12,24,5,22,4,1
13,24,5,18,3,1
14,23,6,18,4,1
15,24,6,10,4,1
16,21,6,9,4,1
17,18,7,11,4,2
18,16,8,8,4,2
19,11,8,8,5,2
20,11,9,10,5,2
21,10,9,6,5,1
22,7,10,4,5,2
23,5,10,1,5,2
24,2,10,4,5,2
25,2,10,24,5,2
26,1,10,45,5,2
27,1,10,40,5,2
28,1,10,35,5,2
29,1,10,30,5,2
day,number of animals,number of grass,avg energy,length of life,avg children
1,5,2,95,0,0
2,5,3,90,0,0
3,5,5,95,0,0
5,3,93,0,0
4,5,6,90,0,0
5,5,8,95,0,0
day,number of animals,number of grass,avg energy,length of life,avg children
1,5,2,95,0,0
2,6,4,90,0,0
3,8,6,70,0,0
6,4,85,0,0
4,11,8,47,0,0
5,14,8,29,0,1
6,18,9,25,0,1
7,20,10,17,0,1
8,20,11,13,0,1
9,13,13,22,2,2
10,9,13,30,3,1
11,10,13,27,3,1
12,10,14,28,3,2
13,11,13,23,4,1
14,12,13,23,4,1
15,10,13,35,4,2
16,10,14,42,4,2
17,10,15,37,5,1
18,11,14,28,5,1
19,12,13,28,4,1
20,13,13,25,4,1
21,14,12,16,4,1
22,10,12,31,4,1
23,10,10,32,4,2
24,11,9,39,4,2
25,13,10,35,4,2
26,13,8,27,4,2
27,14,7,30,4,2
28,15,7,27,4,2
29,15,5,22,4,2
30,13,6,32,4,2
31,12,7,33,4,2
32,13,8,29,4,2
33,13,9,29,4,2
34,10,9,39,6,2
35,11,11,40,6,2
36,10,11,40,6,1
37,11,12,41,6,1
38,12,13,37,6,2
39,14,14,30,6,2
40,14,13,26,7,1
41,14,12,32,7,1
42,15,12,33,7,1
43,17,13,29,6,1
44,17,15,22,6,1
45,10,16,34,6,2
46,9,17,45,6,1
47,10,15,40,6,1
48,9,15,53,6,1
day,number of animals,number of grass,avg energy,length of life,avg children
1,32,2,95,0,0
2,35,4,84,0,0
3,38,6,71,0,0
35,4,83,0,0
4,43,7,61,0,0
5,50,9,50,0,0
6,56,10,38,0,0
7,56,11,32,1,0
8,52,10,31,2,0
day,number of animals,number of grass,avg energy,length of life,avg children
1,6,2,95,0,0
2,7,3,74,0,0
3,8,4,65,0,0
7,3,78,0,0
4,9,5,58,0,0
5,12,7,52,0,0
6,13,8,34,0,1
7,13,9,33,1,1
8,11,11,40,2,1
9,10,12,40,4,0
10,10,13,41,4,0
11,9,14,48,3,1
12,9,13,38,3,1
13,6,14,61,4,0
14,5,15,79,4,0
15,5,15,74,4,0
16,5,13,79,4,0
17,5,14,94,4,0
18,5,15,89,4,0
19,5,16,94,4,0
20,4,16,126,4,0
21,4,18,146,4,0
22,4,18,141,4,0
23,4,17,136,4,0
24,4,16,144,4,0
25,4,17,164,4,0
26,4,16,159,4,0
27,4,16,179,4,0
28,4,16,186,4,0
29,4,15,194,4,0
30,4,16,214,4,0
31,4,15,209,4,0
32,4,14,216,4,0
33,4,14,236,4,0
34,4,14,231,4,0
35,4,13,226,4,0
36,4,12,246,4,0
37,4,12,254,4,0
38,4,11,249,4,0
39,4,13,269,4,0
40,4,13,264,4,0
41,4,14,284,4,0
42,4,13,279,4,0
43,4,13,286,4,0
44,4,13,281,4,0
45,5,14,276,4,0
46,6,15,226,4,0
47,7,14,183,4,1
48,9,12,166,4,1
49,10,9,135,4,1
50,11,8,137,4,1
51,12,7,128,4,1
52,14,6,117,4,1
53,17,6,102,4,1
54,19,3,82,4,1
day,number of animals,number of grass,avg energy,length of life,avg children
1,5,2,95,0,0
2,5,4,90,0,0
3,5,6,85,0,0
5,4,90,0,0
day,number of animals,number of grass,avg energy,length of life,avg children
1,6,2,95,0,0
2,7,4,74,0,0
3,8,6,58,0,0
7,4,75,0,0
4,9,8,46,0,0
5,10,10,36,0,0
6,12,11,27,0,1
7,13,11,22,0,1
8,13,13,25,3,1
9,11,14,26,6,0
10,11,14,21,6,0
11,8,15,34,5,0
day,number of animals,number of grass,avg energy,length of life,avg children
day,number of animals,number of grass,avg energy,length of life,avg children
1,31,2,95,0,0
2,33,4,86,0,0
3,38,6,76,0,0
34,4,85,0,0
day,number of animals,number of grass,avg energy,length of life,avg children
1,6,2,95,0,0
2,7,4,74,0,0
3,8,6,58,0,0
7,4,75,0,0
4,9,8,46,0,0
day,number of animals,number of grass,avg energy,length of life,avg children
1,5,2,95,0,0
2,5,4,90,0,0
5,3,92,0,0
3,5,5,85,0,0
day,number of animals,number of grass,avg energy,length of life,avg children
1,12,2,95,0,0
2,14,3,74,0,0
3,16,5,62,0,0
4,19,7,49,0,0
5,22,6,36,0,0
6,27,7,33,0,1
7,31,6,23,2,1
8,31,4,18,4,1
9,29,5,22,3,1
10,29,5,18,4,1
11,28,6,16,4,1
12,24,8,13,4,2
13,20,8,11,3,2
14,12,7,23,4,2
15,12,8,29,4,2
16,11,9,32,4,2
17,12,8,21,4,2
20,6,33,2,1
day,number of animals,number of grass,avg energy,length of life,avg children
1,10,2,95,0,0
2,12,4,90,0,0
3,15,5,70,0,0
4,19,6,54,0,0
5,24,7,40,0,0
6,31,7,29,0,1
7,38,7,20,0,1
8,39,8,15,1,1
9,28,6,19,2,1
10,27,7,24,3,1
11,27,4,18,3,1
12,26,5,19,4,1
13,25,5,17,4,1
14,17,6,22,4,1
15,18,6,17,4,1
16,14,7,20,4,1
17,12,8,24,5,1
18,13,9,24,4,1
19,13,9,17,5,1
20,10,9,30,5,1
21,12,9,22,5,1
22,13,9,19,5,1
23,12,9,19,5,1
24,12,10,19,5,1
25,8,11,22,5,2
26,5,11,32,5,2
27,3,12,50,5,1
28,3,11,45,5,1
29,3,12,57,5,1
30,3,13,52,5,1
16,7,33,3,0
31,4,14,47,5,1
32,4,13,30,5,1
day,number of animals,number of grass,avg energy,length of life,avg children
1,10,2,95,0,0
2,11,4,90,0,0
3,13,5,76,0,0
4,15,4,60,0,0
5,17,5,53,0,0
6,20,5,42,0,0
7,25,6,33,0,1
